Component;A;B;C;tMin[°C];tMax[°C];w;Tc[K];Pc[bar]
methanol;8,08097;1582,271;239,726;15;84;0,564;512,6;80,97
ethanol;8,1122;1592,864;226,184;20;93;0,645;513,9;61,48
1-propanol;7,74416;1437,686;198,463;60;106;0,622;536,8;51,75
2-propanol;8,87829;2010,33;252,636;-26;83;0,668;508,3;47,62
1-butanol;7,36366;1305,198;173,427;89;126;0,594;563,1;44,23
2-butanol;7,20131;1157;168,279;72;107;0,594;563,1;44,23
ethylene glycol;7,251620842;1448,565085;134,1182017;80;200;0,487;719,7;77,00
phenol;7,13301;1516,790;174,954;107;181;0,444;694,3;61,30
methane;6,6438;395,74;266,681;-182;-158;0,012;190,6;45,99
ethane;6,82915;663,72;256,681;-143;-84;0,1;305,3;48,72
propane;6,80338;804;247,04;-108;-35,65;0,152;369,8;42,48
n-butane;6,80776;935,77;238,789;-78;19;0,200;425,1;37,96
n-pentane;6,85296;1064,84;232,012;-50;58;0,252;469,7;33,7
n-hexane;6,87601;1171,17;224,408;-25;92;0,301;507,6;30,25
n-heptane;6,89677;1264,9;216,544;-2;123;0,350;540,2;27,40
n-octane;6,91868;1351,99;209,155;19;152;0,4;568,7;24,9
n-nonane;6,93893;1431,82;202,11;39;178;0,444;594,6;22,90
n-decane;6,94363;1495,17;193,858;58;203;0,492;617,7;21,10
cyclohexane;6,85146;1206,47;223,136;7;81;0,210;553,6;40,73
methylcyclohexane;7,1161;1444,59;240,184;-3;100;0,235;572,2;34,71
toluene;6,95087;1342,31;219,187;-27;111;0,262;591,8;41,06
benzene;6,87987;1196,76;219,161;8;80;0,210;562,2;48,98
chlorobenzene;6,97808;1431,053;217,55;62;131;0,250;632,4;45,20
m-xylene;7,00909;1462,266;215,11;29;166;0,326;617,1;35,36
o-xylene;7,00154;1476,393;213,872;63;145;0,310;630,3;37,34
p-xylene;6,99053;1453,43;215,31;27;166;0,322;616,2;35,11
acetone;7,11714;1210,595;229,664;-13;55;0,307;508,2;47,01
ethyl acetate;7,10179;1244,95;217,881;16;76;0,366;523,3;38,8
water;8,07131;1730,63;233,426;1;100;0,345;647,1;220,55
acetonitrile;7,33986;1482,29;250,523;-27;82;0,338;545,5;48,30
acetic acid;8,021;1936,01;258,451;18;118;0,467;592,0;57,86
chloroform;6,95465;1170,966;226,232;-10;60;0,222;536,4;54,72
dichloromethane;7,40916;1325,938;252,616;-40;40;0,199;510,0;60,80
Biphenyl;13,5354;4993,37;296,072;20;40;0,365;789,3;38,50
Naphthalene;8,62233;2165,72;198,284;20;40;0,302;748,4;40,51
diethyl ether;6,92032;1064,066;228,799;-60;20;0,266;497,1;34,30
acetaldehyde;8,00552;1600,017;291,809;-0;34;0,291;466,0;55,5
carbon dioxide;9,8106;1347,79;273;-119;-69;0,225;304,2;73,74
ethylbenzene;6,95719;1424,255;213,206;26;163;0,303;617,2;36,06
carbon tetrachloride;6,87926;1212,021;226,409;14;76;0,193;556,4;45,60
